Date,Country,City,Specie,count,min,max,median,variance
13-07-2021,BRAZIL,São José dos Campos,humidity,96,31,100,76,4858.51
27-07-2021,BRAZIL,São José dos Campos,humidity,96,28,88,48,4217.53
15-08-2021,BRAZIL,São José dos Campos,humidity,96,44,100,88,3471.14
21-07-2021,BRAZIL,São José dos Campos,humidity,72,32,100,81,5614.21
26-07-2021,BRAZIL,São José dos Campos,humidity,96,24,87,59,5331.77
24-08-2021,BRAZIL,São José dos Campos,humidity,96,12,82,52,6084.61
06-01-2021,BRAZIL,São José dos Campos,humidity,96,43,93,78,3145.36
27-05-2021,BRAZIL,São José dos Campos,humidity,96,41,100,77,4128
10-07-2021,BRAZIL,São José dos Campos,humidity,96,35,100,87,5552.26
12-07-2021,BRAZIL,São José dos Campos,humidity,96,33,100,77,4965.88
20-09-2021,BRAZIL,São José dos Campos,humidity,96,32,100,60,5298.79
25-02-2021,BRAZIL,São José dos Campos,humidity,96,73,100,90.5,563.04
05-03-2021,BRAZIL,São José dos Campos,humidity,96,64,97,77,767.56
13-05-2021,BRAZIL,São José dos Campos,humidity,96,72,100,87,935.98
25-07-2021,BRAZIL,São José dos Campos,humidity,96,22,93,72,6339.3
12-05-2021,BRAZIL,São José dos Campos,humidity,96,60,100,93,1424.84
07-08-2021,BRAZIL,São José dos Campos,humidity,96,43,100,87,3586.25
10-08-2021,BRAZIL,São José dos Campos,humidity,96,22,93,67,6741.26
07-01-2021,BRAZIL,São José dos Campos,humidity,96,43,94,85.5,3597.47
26-02-2021,BRAZIL,São José dos Campos,humidity,96,69,100,88,487.65
27-02-2021,BRAZIL,São José dos Campos,humidity,96,61,100,88,1417.63
11-05-2021,BRAZIL,São José dos Campos,humidity,96,31,100,90.5,6284.31
09-11-2021,BRAZIL,São José dos Campos,humidity,72,73,88,82,197.68
29-01-2021,BRAZIL,São José dos Campos,humidity,96,29,93,61,4501.26
10-02-2021,BRAZIL,São José dos Campos,humidity,96,45,93,85,2526.07
15-02-2021,BRAZIL,São José dos Campos,humidity,96,39,93,69,2808.82
02-06-2021,BRAZIL,São José dos Campos,humidity,96,39,100,87,5327.88
21-08-2021,BRAZIL,São José dos Campos,humidity,96,18,87,56,6339.37
23-08-2021,BRAZIL,São José dos Campos,humidity,96,19,81,49,4226.46
15-11-2021,BRAZIL,São José dos Campos,humidity,96,24,93,72,4632.29
04-12-2021,BRAZIL,São José dos Campos,humidity,72,50,93,82,1357.45
28-12-2020,BRAZIL,São José dos Campos,humidity,96,67,100,88,800.73
24-02-2021,BRAZIL,São José dos Campos,humidity,96,40,93,77,3092.6
13-03-2021,BRAZIL,São José dos Campos,humidity,96,40,100,78,3637.61
21-04-2021,BRAZIL,São José dos Campos,humidity,96,56,100,88,1790.63
03-02-2021,BRAZIL,São José dos Campos,humidity,96,43,100,88,3287.35
22-02-2021,BRAZIL,São José dos Campos,humidity,96,48,100,73,2492.56
03-07-2021,BRAZIL,São José dos Campos,humidity,96,38,100,87,4396
14-11-2021,BRAZIL,São José dos Campos,humidity,96,34,87,77,2221.26
08-03-2021,BRAZIL,São José dos Campos,humidity,96,54,100,93,1983.93
27-03-2021,BRAZIL,São José dos Campos,humidity,96,29,100,69,5016.82
06-07-2021,BRAZIL,São José dos Campos,humidity,96,52,100,82,2395.35
13-09-2021,BRAZIL,São José dos Campos,humidity,96,23,100,68,6071.32
22-11-2021,BRAZIL,São José dos Campos,humidity,72,22,93,72,6383.64
08-05-2021,BRAZIL,São José dos Campos,humidity,96,56,100,77,1561.11
14-07-2021,BRAZIL,São José dos Campos,humidity,96,33,100,72,4915.3
24-09-2021,BRAZIL,São José dos Campos,humidity,96,28,93,79,3913.09
08-11-2021,BRAZIL,São José dos Campos,humidity,72,45,93,72,2395.33
13-04-2021,BRAZIL,São José dos Campos,humidity,96,68,100,82,756.9
25-11-2021,BRAZIL,São José dos Campos,humidity,72,33,93,73,2870.63
12-01-2021,BRAZIL,São José dos Campos,humidity,76,52,94,83,1392.24
19-01-2021,BRAZIL,São José dos Campos,humidity,96,43,88,78,2200.42
07-02-2021,BRAZIL,São José dos Campos,humidity,96,42,93,73,2165.32
08-02-2021,BRAZIL,São José dos Campos,humidity,96,44,93,73,1763.77
09-07-2021,BRAZIL,São José dos Campos,humidity,96,43,100,87,3413.46
27-09-2021,BRAZIL,São José dos Campos,humidity,96,30,87,64,4490.79
24-11-2021,BRAZIL,São José dos Campos,humidity,72,57,93,77,807.85
28-04-2021,BRAZIL,São José dos Campos,humidity,96,46,100,88,2833.22
22-07-2021,BRAZIL,São José dos Campos,humidity,75,30,100,87.5,5185.18
28-07-2021,BRAZIL,São José dos Campos,humidity,96,81,100,93,373.88
05-02-2021,BRAZIL,São José dos Campos,humidity,96,61,100,83,1344.42
18-02-2021,BRAZIL,São José dos Campos,humidity,96,42,100,82,4609.4
04-05-2021,BRAZIL,São José dos Campos,humidity,96,34,100,77,6194.74
18-11-2021,BRAZIL,São José dos Campos,humidity,80,60,94,78,1344.1
09-09-2021,BRAZIL,São José dos Campos,humidity,96,45,93,82,1741.4
04-01-2021,BRAZIL,São José dos Campos,humidity,96,42,88,77,2066.51
30-01-2021,BRAZIL,São José dos Campos,humidity,96,31,93,69,4850.51
04-08-2021,BRAZIL,São José dos Campos,humidity,96,48,100,82,2472.07
16-08-2021,BRAZIL,São José dos Campos,humidity,96,67,100,87,1307.05
16-05-2021,BRAZIL,São José dos Campos,humidity,96,53,93,87,1949.04
28-08-2021,BRAZIL,São José dos Campos,humidity,96,87,100,93,236.55
16-09-2021,BRAZIL,São José dos Campos,humidity,96,77,93,88,220.05
07-11-2021,BRAZIL,São José dos Campos,humidity,72,42,87,72,1461.9
02-03-2021,BRAZIL,São José dos Campos,humidity,96,33,100,78,4612.61
22-04-2021,BRAZIL,São José dos Campos,humidity,96,60,100,82,1616.52
18-07-2021,BRAZIL,São José dos Campos,humidity,96,20,100,84.5,7883.78
18-08-2021,BRAZIL,São José dos Campos,humidity,96,25,93,60,6588
23-09-2021,BRAZIL,São José dos Campos,humidity,96,40,87,71,1787.47
10-11-2021,BRAZIL,São José dos Campos,humidity,72,60,93,82,760.83
08-04-2021,BRAZIL,São José dos Campos,humidity,96,41,93,77,2943.93
10-06-2021,BRAZIL,São José dos Campos,humidity,96,50,100,93,1878.51
11-06-2021,BRAZIL,São José dos Campos,humidity,96,72,100,88,480.21
16-06-2021,BRAZIL,São José dos Campos,humidity,96,52,100,87,1933.04
07-03-2021,BRAZIL,São José dos Campos,humidity,96,69,100,93,900.21
29-07-2021,BRAZIL,São José dos Campos,humidity,96,40,93,70,2665.25
21-06-2021,BRAZIL,São José dos Campos,humidity,96,55,100,87.5,2215.15
22-08-2021,BRAZIL,São José dos Campos,humidity,96,20,67,52,2842.11
03-11-2021,BRAZIL,São José dos Campos,humidity,72,57,100,82,1409.56
01-01-2021,BRAZIL,São José dos Campos,humidity,96,54,100,82,1433.82
14-02-2021,BRAZIL,São José dos Campos,humidity,96,45,100,73,3608.52
18-03-2021,BRAZIL,São José dos Campos,humidity,96,61,100,82,1294.88
23-04-2021,BRAZIL,São José dos Campos,humidity,96,46,100,82,3285.05
14-01-2021,BRAZIL,São José dos Campos,humidity,96,43,100,88,2354.84
25-06-2021,BRAZIL,São José dos Campos,humidity,96,41,100,73,4028.69
11-09-2021,BRAZIL,São José dos Campos,humidity,96,39,100,73,3964.19
29-03-2021,BRAZIL,São José dos Campos,humidity,96,43,100,82,4613.46
23-07-2021,BRAZIL,São José dos Campos,humidity,96,20,100,76,8696.97
26-11-2021,BRAZIL,São José dos Campos,humidity,72,65,88,82,265.74
